Date,Time,Author,Note
04/02/25,03:02:11 AM,Silver,"Back in friday, 03/28, Rae has been pretty provocative of me on drinkout night. Essentially she was very physical and kind to an insurmountable degree that it almost seems like she's into me, which has had me acting unwise and overthinking for the last few days. What's worse was there were audiences and witnesses that night, which made the situation that much worse. I think I was attracted to her, and she has relieved me of thinking of Nadia for a while there. Had my imagination running. I was very weary though, very very weary. But it was fun, ghiblified a few of our images, and generally goofed around. Observations iminent as to wether to confirm these suspicions. Then tonight, yesterday night at the time of writing, Nadia has messaged me with a long letter apologizing and explaining, which has had me even more confused. And now we are back to talking again, once again in conversation, which is stupid to a degree that is not appreciable. I am fucked, or rather, being fucked both ways by these two women, one unconfirmed, one very confirmed. And they're both from AstroSoc, so, dear god, I am cooked. I just received my nomination for presidency equivalent and this is how I am greeted by fate. Conflict of interest, on god. I never imagined I will be at the mercy of the astrosoc goth girl and the astrosoc sundress girl. Fucking insane.  I am cooked, significantly, and without fail. I am so so cooked that it isn't even funny anymore."
04/02/25,03:02:44 AM,Anon,"My lips, your lips, apocalypse."
04/02/25,03:14:45 AM,Pilak,"Y'know what's a good idea? Add a log for the actions done on this fucker, it should be fun. Basically the same format, date, time, word input, resulting action, shit like that. For every significant comand like saving this or saving that. I should develop that. So I guess let's add this to the development ideas, along with the automatic mobchart maker, with b24 testing. I'll just flag this as one gigantic [DEVELOPMENT IDEA][DEVELOPMENT IDEA][DEVELOPMENT IDEA][DEVELOPMENT IDEA]"
04/02/25,03:16:59 AM,Anon,"Some nights I stay up cashing in my bad luck, some nights I call it a draw. "
04/08/25,11:39:00 AM,Ag,"She came back on the evening of April 3rd, because I approached her and she asked me again if she can date me, and I told her on a condition. She said she'll commit now, and I said okay, and so, we went on a date again, on UPTC. We went on another date on the fourth, spending time until 2 AM, and we went to see each other again on the fifth, where we spent time together on a concert (UP Fair Rev) the entire night, with me holding her and us singing together. We spent time again on sunday, watching How to Lose A guy in 10 days, and yesterday too, no specific action, we were just together. It's been... so sweet, she's been so lovely, yet I fear another rugpull. She's done this shit before, so I can't be so complicit. I'm leaving myself too vulnerable again for her to hurt me, and I cannot help but fear. I fear another deceit, another lie. I hope I can trust her again, despite everything she has done. I hope this gamble works out, I hope she will keep her word. But if not, then this is really the last, because I don't want to anymore, I no longer desire to be with a girl who keeps on lying to me and lying to herself. I hope this works out. ISTG if this is another rug pull, I'll just let Rae pull up and do what she wants to do. I am not out of options, but Nadia is. But I don't want to, because I want only her. But I cannot trust her again until some time, so we find ourselves in a bit of a contradiction, and only time will tell what happens next."
05/29/25,05:01:20 PM,Anon,"Hi there, been  a while. Me and Nadia are going strong for about two months now. Approaching the monthsary. She's been lovely, and so far we've been healthy, and her responses to me are more grounded, at the very least. She sucked my dick, and we've made love quite a lot of times. Anyway, most of what I have done right now are just research and studies, with the occassional skirmish with that fuckass Shane. Fucking asshole. Anyway, sem's almost done, I just have to process my DOST and my incompletes, and after that, I'm a free man. I just need to pay off the house and find a good job during the midyear period, where she will be gone and going to Albay for her internship. But yes, notes, it has been quite lovely."
05/29/25,05:04:08 PM,Anon,"Oh, and by the way. We're official. She asked me to be her boyfriend on May 15th, I said yes. So quite indeed, quite indeed. Life is bearable."
05/29/25,05:06:52 PM,Anon,"Last entry is from April 7th. Boy, I have been slacking off. Anyway, I plan on finishing this fucker tonight, so let's get it on!"
05/29/25,05:37:51 PM,Pilak,"Added a new feature which allows me to access low level system commands in this fuckass program by entering ""sys"" unto itself. Works pretty good, yeah?"
05/29/25,05:40:21 PM,Anon,That fuckass song Anxiety will be the death of me
05/29/25,06:06:00 PM,!,"so i added the command log functionality, i'm done here. i'll log the other fucker attendances later. thanks!"
05/29/25,07:11:14 PM,Anon,and now i added how to list the cmdlogs. good fucker!
05/29/25,07:17:55 PM,Anon,"entered a minor bug, i'm good"
05/29/25,07:40:56 PM,silver,"in the middle of an executive meeting, so far it's funz!"
